Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
1,Real Madrid,ESP,1,9,8,1,0,22,8,14,25,2.78,17.8,8.5,9.3,1.04,57920,Vinicius Júnior - 5,Thibaut Courtois
2,Arsenal,ENG,1,10,9,0,1,24,10,14,27,2.7,18.5,9.9,8.6,0.86,60109,Gabriel Jesus - 5,Aaron Ramsdale
3,Paris S-G,FRA,1,11,9,2,0,29,5,24,29,2.64,26.9,9.5,17.4,1.59,36800,Neymar - 9,Gianluigi Donnarumma
4,Napoli,ITA,1,10,8,2,0,25,9,16,26,2.6,21.4,9.1,12.4,1.24,21394,Khvicha Kvaratskhelia - 5,Alex Meret
5,Barcelona,ESP,2,9,7,1,1,21,4,17,22,2.44,22.9,7.4,15.5,1.72,82919,Robert Lewandowski - 9,Marc-André ter Stegen
6,Atalanta,ITA,2,10,7,3,0,16,6,10,24,2.4,15.6,8.9,6.7,0.67,11079,Teun Koopmeiners Ademola Lookman - 4,Juan Musso
7,Lorient,FRA,2,11,8,2,1,21,14,7,26,2.36,16,17.1,-1.2,-0.1,10855,Terem Moffi - 8,Yvon Mvogo
8,Manchester City,ENG,2,10,7,2,1,33,10,23,23,2.3,22,7.1,14.9,1.49,53363,Erling Haaland - 15,Ederson
9,Tottenham,ENG,3,10,7,2,1,22,10,12,23,2.3,16,10.8,5.1,0.51,61587,Harry Kane - 9,Hugo Lloris
10,Union Berlin,GER,1,10,7,2,1,18,6,12,23,2.3,9.4,8.8,0.6,0.06,21821,Sheraldo Becker - 6,Frederik Rønnow
11,Milan,ITA,3,10,7,2,1,20,10,10,23,2.3,18,9.4,8.5,0.85,57735,Olivier Giroud Rafael Leão - 4,Mike Maignan
12,Lens,FRA,3,11,7,3,1,18,8,10,24,2.18,20.9,11.9,9,0.81,31007,Florian Sotoca - 6,Brice Samba
13,Atlético Madrid,ESP,3,9,6,1,2,15,7,8,19,2.11,11.4,8.7,2.8,0.31,57558,Álvaro Morata - 4,Jan Oblak
14,Betis,ESP,4,9,6,1,2,13,6,7,19,2.11,10.1,9.9,0.2,0.02,50964,Borja Iglesias - 7,Rui Silva
15,Chelsea,ENG,4,9,6,1,2,15,10,5,19,2.11,12.1,10.3,1.8,0.2,39941,Raheem Sterling - 3,Edouard Mendy
16,Real Sociedad,ESP,5,9,6,1,2,15,12,3,19,2.11,12.5,8.7,3.8,0.42,33942,Brais Méndez - 5,Álex Remiro
17,Roma,ITA,6,9,6,1,2,12,9,3,19,2.11,18.1,6.6,11.5,1.28,45716,Paulo Dybala - 5,Rui Patrício
18,Lazio,ITA,4,10,6,3,1,21,5,16,21,2.1,13.7,13,0.7,0.07,29083,Ciro Immobile - 6,Ivan Provedel
19,Udinese,ITA,5,10,6,3,1,19,10,9,21,2.1,13.6,10.4,3.3,0.33,16664,Beto - 5,Marco Silvestri
20,Marseille,FRA,4,11,7,2,2,20,8,12,23,2.09,16.4,12.4,4,0.37,52398,Alexis Sánchez - 4,Pau López
21,Rennes,FRA,5,11,6,3,2,23,11,12,21,1.91,18.8,10.6,8.2,0.75,18500,Martin Terrier - 7,Steve Mandanda
22,Monaco,FRA,6,11,6,3,2,20,14,6,21,1.91,16.7,17.7,-0.9,-0.09,5491,Breel Embolo - 5,Alexander Nübel
23,Bayern Munich,GER,2,10,5,4,1,30,8,22,19,1.9,23.4,9.6,13.8,1.38,75000,Leroy Sané Sadio Mané... - 5,Manuel Neuer
24,Athletic Club,ESP,6,9,5,2,2,17,6,11,17,1.89,16,6.4,9.6,1.07,43107,Álex Berenguer Oihan Sancet... - 3,Unai Simón
25,Inter,ITA,7,10,6,0,4,18,14,4,18,1.8,16.6,8.5,8.1,0.81,42219,Lautaro Martínez - 4,Samir Handanovi?
26,Freiburg,GER,3,10,5,3,2,14,13,1,18,1.8,13.7,12.9,0.8,0.08,34225,Michael Gregoritsch - 4,Mark Flekken
27,Manchester Utd,ENG,5,9,5,1,3,13,15,-2,16,1.78,12,12.6,-0.6,-0.07,73754,Marcus Rashford Antony - 3,David de Gea
28,Lille,FRA,7,11,6,1,4,21,18,3,19,1.73,19,14.2,4.9,0.44,28741,Jonathan David - 9,Leonardo César Jardim
29,Hoffenheim,GER,4,10,5,2,3,17,10,7,17,1.7,18,11.7,6.2,0.62,20794,Moanes Dabbur - 4,Oliver Baumann
30,Eint Frankfurt,GER,5,10,5,2,3,21,17,4,17,1.7,16,11.7,4.4,0.44,50200,Daichi Kamada - 6,Kevin Trapp
31,Osasuna,ESP,8,8,4,1,3,9,8,1,13,1.63,12.1,9.4,2.7,0.34,18877,Ezequiel Ávila - 3,Sergio Herrera
32,Juventus,ITA,8,10,4,4,2,13,7,6,16,1.6,13.7,11.5,2.2,0.22,30107,Dušan Vlahovi? - 6,Mattia Perin
33,M'Gladbach,GER,6,10,4,4,2,18,14,4,16,1.6,18.1,15.2,2.9,0.29,50702,Marcus Thuram - 7,Yann Sommer
34,Köln,GER,7,10,4,4,2,19,17,2,16,1.6,15.2,11.8,3.4,0.34,49700,Florian Kainz - 4,Marvin Schwäbe
35,Dortmund,GER,8,10,5,1,4,13,14,-1,16,1.6,15.8,11.3,4.5,0.45,80899,Youssoufa Moukoko - 3,Gregor Kobel
36,Valencia,ESP,7,9,4,2,3,16,10,6,14,1.56,14,9,5,0.56,40953,Edinson Cavani Samu Castillejo... - 2,Giorgi Mamardashvili
